Wall time,Step,Value
1771402528.2593465,0,-226.8000030517578
1771402616.1115959,1,-39.20000076293945
1771402706.3404503,2,17.200000762939453
1771402792.437309,3,44.0
1771402878.6902027,4,40.400001525878906
1771402972.232063,5,25.200000762939453
1771403066.0361283,6,68.4000015258789
1771403152.9920332,7,73.19999694824219
1771403239.6280768,8,101.5999984741211
1771403328.9055974,9,96.80000305175781
1771403414.4892154,10,114.80000305175781
1771403500.41041,11,115.19999694824219
1771403587.2129197,12,110.80000305175781
1771403673.4947078,13,90.0
1771403759.17679,14,113.5999984741211
1771403846.6981046,15,91.19999694824219
1771403933.1556299,16,98.80000305175781
1771404019.0988157,17,114.0
1771404105.4147072,18,144.0
1771404191.6797707,19,102.4000015258789
1771404278.2024155,20,121.5999984741211
1771404372.1112611,21,101.19999694824219
1771404459.4918976,22,122.80000305175781
1771404546.2695224,23,77.5999984741211
1771404632.8389144,24,110.4000015258789
1771404719.8540952,25,118.4000015258789
1771404806.2564223,26,119.19999694824219
1771404892.3179464,27,133.60000610351562
1771404978.9297574,28,77.5999984741211
1771405064.4540784,29,96.80000305175781
1771405150.4403372,30,108.0
1771405236.62398,31,146.39999389648438
1771405322.1173372,32,130.8000030517578
1771405407.7218685,33,129.60000610351562
1771405493.483457,34,108.4000015258789
1771405579.907633,35,119.5999984741211
1771405666.4570143,36,75.5999984741211
1771405751.688326,37,108.4000015258789
1771405837.3894355,38,124.80000305175781
1771405922.9914863,39,132.0
1771406008.9133637,40,120.0
1771406094.365923,41,114.4000015258789
1771406181.0037558,42,99.19999694824219
1771406266.739545,43,74.4000015258789
1771406352.6159053,44,132.0
1771406438.408679,45,100.80000305175781
1771406525.632688,46,126.4000015258789
1771406613.0214157,47,100.0
1771406699.5301778,48,120.4000015258789
1771406786.6921449,49,136.8000030517578
1771406872.717663,50,99.19999694824219
1771406959.787041,51,126.4000015258789
1771407046.8168595,52,106.0
1771407134.1159534,53,118.4000015258789
1771407221.176502,54,83.5999984741211
1771407308.869046,55,120.80000305175781
1771407397.351365,56,132.8000030517578
1771407485.2576034,57,142.0
1771407572.4572034,58,117.19999694824219
1771407659.5997362,59,84.4000015258789
1771407747.143105,60,117.5999984741211
1771407836.0319579,61,104.0
1771407922.3214834,62,106.4000015258789
1771408008.7834687,63,122.4000015258789
1771408094.8186302,64,136.8000030517578
1771408180.704699,65,142.8000030517578
1771408266.536189,66,104.80000305175781
1771408353.09408,67,88.0
1771408438.991635,68,112.4000015258789
1771408525.5754626,69,121.19999694824219
1771408611.9587305,70,124.0
1771408698.04232,71,104.0
1771408785.5508778,72,101.5999984741211
1771408872.3549843,73,124.80000305175781
1771408958.48617,74,128.0
1771409044.9763749,75,100.0
1771409132.6703987,76,153.60000610351562
1771409219.7395725,77,60.0
1771409305.8649485,78,136.8000030517578
1771409391.8082657,79,97.19999694824219
1771409478.8285189,80,134.39999389648438
1771409565.6644766,81,110.80000305175781
1771409652.1041186,82,103.19999694824219
1771409739.2490213,83,125.19999694824219
1771409825.538635,84,148.0
1771409912.1805398,85,136.8000030517578
1771409999.1206996,86,92.80000305175781
1771410085.86752,87,129.60000610351562
1771410172.841793,88,113.5999984741211
1771410259.4960084,89,118.0
1771410345.9897532,90,122.0
1771410433.0239122,91,110.4000015258789
1771410519.640682,92,120.4000015258789
1771410606.6377833,93,100.0
1771410693.8369193,94,83.5999984741211
1771410780.2341814,95,125.19999694824219
1771410867.1341271,96,106.80000305175781
1771410954.3099387,97,134.8000030517578
1771411041.2180376,98,104.0
1771411127.819008,99,102.0
1771411214.8942795,100,175.1999969482422
1771411302.4635253,101,133.1999969482422
1771411389.7270784,102,108.80000305175781
1771411479.954096,103,80.4000015258789
1771411570.635088,104,123.5999984741211
1771411658.257515,105,122.80000305175781
1771411745.260902,106,132.39999389648438
1771411831.3765845,107,143.1999969482422
1771411916.6818497,108,117.19999694824219
1771412002.8596537,109,162.0
1771412088.558224,110,156.39999389648438
1771412173.9714084,111,112.0
1771412260.277136,112,111.19999694824219
1771412345.756217,113,141.1999969482422
1771412433.674399,114,134.39999389648438
1771412519.856563,115,144.39999389648438
1771412606.778642,116,89.5999984741211
1771412693.0391288,117,146.8000030517578
1771412779.4093225,118,108.0
1771412866.7091255,119,114.0
1771412952.489047,120,139.1999969482422
1771413038.3049824,121,79.5999984741211
1771413126.143791,122,133.1999969482422
1771413212.9325786,123,103.19999694824219
1771413299.722127,124,160.0
1771413385.8945103,125,117.19999694824219
1771413471.514466,126,152.0
1771413557.6536093,127,112.0
1771413643.4404523,128,117.5999984741211
1771413729.7294888,129,102.4000015258789
1771413815.8531442,130,142.0
1771413901.8828392,131,164.0
1771413989.5163665,132,105.5999984741211
1771414075.028079,133,158.39999389648438
1771414163.0861702,134,112.80000305175781
1771414250.5243533,135,155.1999969482422
1771414348.5031958,136,143.60000610351562
1771414448.4432917,137,142.0
1771414542.3960333,138,92.0
1771414630.0730503,139,124.0
1771414716.9083145,140,104.4000015258789
1771414803.4322422,141,130.39999389648438
1771414890.1189854,142,88.0
1771414976.0052142,143,134.0
1771415063.0662603,144,152.8000030517578
