Wall time,Step,Value
1771402528.2593465,0,-223.1999969482422
1771402616.1115959,1,-50.79999923706055
1771402706.3404503,2,-44.0
1771402792.437309,3,11.199999809265137
1771402878.6902027,4,96.0
1771402972.232063,5,54.0
1771403066.0361283,6,67.19999694824219
1771403152.9920332,7,101.19999694824219
1771403239.6280768,8,112.80000305175781
1771403328.9055974,9,55.20000076293945
1771403414.4892154,10,98.80000305175781
1771403500.41041,11,91.19999694824219
1771403587.2129197,12,92.0
1771403673.4947078,13,104.80000305175781
1771403759.17679,14,68.80000305175781
1771403846.6981046,15,147.1999969482422
1771403933.1556299,16,99.5999984741211
1771404019.0988157,17,89.5999984741211
1771404105.4147072,18,124.4000015258789
1771404191.6797707,19,95.19999694824219
1771404278.2024155,20,87.5999984741211
1771404372.1112611,21,125.19999694824219
1771404459.4918976,22,92.4000015258789
1771404546.2695224,23,98.4000015258789
1771404632.8389144,24,106.4000015258789
1771404719.8540952,25,110.0
1771404806.2564223,26,133.1999969482422
1771404892.3179464,27,96.0
1771404978.9297574,28,83.5999984741211
1771405064.4540784,29,130.0
1771405150.4403372,30,105.5999984741211
1771405236.62398,31,115.19999694824219
1771405322.1173372,32,121.5999984741211
1771405407.7218685,33,114.80000305175781
1771405493.483457,34,76.80000305175781
1771405579.907633,35,148.8000030517578
1771405666.4570143,36,117.5999984741211
1771405751.688326,37,84.4000015258789
1771405837.3894355,38,142.39999389648438
1771405922.9914863,39,108.4000015258789
1771406008.9133637,40,116.0
1771406094.365923,41,109.19999694824219
1771406181.0037558,42,112.4000015258789
1771406266.739545,43,115.5999984741211
1771406352.6159053,44,118.0
1771406438.408679,45,143.60000610351562
1771406525.632688,46,111.19999694824219
1771406613.0214157,47,120.0
1771406699.5301778,48,132.39999389648438
1771406786.6921449,49,92.0
1771406872.717663,50,122.4000015258789
1771406959.787041,51,108.0
1771407046.8168595,52,75.19999694824219
1771407134.1159534,53,114.0
1771407221.176502,54,115.19999694824219
1771407308.869046,55,85.19999694824219
1771407397.351365,56,110.80000305175781
1771407485.2576034,57,138.39999389648438
1771407572.4572034,58,102.0
1771407659.5997362,59,127.5999984741211
1771407747.143105,60,108.4000015258789
1771407836.0319579,61,113.19999694824219
1771407922.3214834,62,82.80000305175781
1771408008.7834687,63,79.5999984741211
1771408094.8186302,64,118.0
1771408180.704699,65,127.19999694824219
1771408266.536189,66,104.4000015258789
1771408353.09408,67,151.60000610351562
1771408438.991635,68,104.0
1771408525.5754626,69,146.39999389648438
1771408611.9587305,70,127.5999984741211
1771408698.04232,71,129.60000610351562
1771408785.5508778,72,130.0
1771408872.3549843,73,118.4000015258789
1771408958.48617,74,128.8000030517578
1771409044.9763749,75,62.0
1771409132.6703987,76,94.0
1771409219.7395725,77,57.20000076293945
1771409305.8649485,78,136.0
1771409391.8082657,79,130.39999389648438
1771409478.8285189,80,90.0
1771409565.6644766,81,139.1999969482422
1771409652.1041186,82,150.0
1771409739.2490213,83,112.0
1771409825.538635,84,120.4000015258789
1771409912.1805398,85,103.19999694824219
1771409999.1206996,86,127.19999694824219
1771410085.86752,87,127.19999694824219
1771410172.841793,88,60.79999923706055
1771410259.4960084,89,91.5999984741211
1771410345.9897532,90,112.4000015258789
1771410433.0239122,91,135.1999969482422
1771410519.640682,92,105.5999984741211
1771410606.6377833,93,115.19999694824219
1771410693.8369193,94,111.19999694824219
1771410780.2341814,95,106.80000305175781
1771410867.1341271,96,102.4000015258789
1771410954.3099387,97,126.80000305175781
1771411041.2180376,98,137.60000610351562
1771411127.819008,99,120.80000305175781
1771411214.8942795,100,126.4000015258789
1771411302.4635253,101,135.1999969482422
1771411389.7270784,102,152.0
1771411479.954096,103,98.4000015258789
1771411570.635088,104,154.8000030517578
1771411658.257515,105,92.0
1771411745.260902,106,118.80000305175781
1771411831.3765845,107,118.0
1771411916.6818497,108,105.19999694824219
1771412002.8596537,109,86.4000015258789
1771412088.558224,110,137.1999969482422
1771412173.9714084,111,153.1999969482422
1771412260.277136,112,114.4000015258789
1771412345.756217,113,148.8000030517578
1771412433.674399,114,139.1999969482422
1771412519.856563,115,166.8000030517578
1771412606.778642,116,127.19999694824219
1771412693.0391288,117,133.1999969482422
1771412779.4093225,118,121.19999694824219
1771412866.7091255,119,149.60000610351562
1771412952.489047,120,126.4000015258789
1771413038.3049824,121,114.0
1771413126.143791,122,168.0
1771413212.9325786,123,131.60000610351562
1771413299.722127,124,149.1999969482422
1771413385.8945103,125,140.0
1771413471.514466,126,122.80000305175781
1771413557.6536093,127,140.39999389648438
1771413643.4404523,128,120.4000015258789
1771413729.7294888,129,156.39999389648438
1771413815.8531442,130,159.60000610351562
1771413901.8828392,131,106.80000305175781
1771413989.5163665,132,128.39999389648438
1771414075.028079,133,169.60000610351562
1771414163.0861702,134,152.8000030517578
1771414250.5243533,135,123.5999984741211
1771414348.5031958,136,99.19999694824219
1771414448.4432917,137,122.80000305175781
1771414542.3960333,138,114.0
1771414630.0730503,139,125.19999694824219
1771414716.9083145,140,124.4000015258789
1771414803.4322422,141,129.60000610351562
1771414890.1189854,142,170.39999389648438
1771414976.0052142,143,119.19999694824219
1771415063.0662603,144,96.4000015258789
